Genre,GenreLemma,Cluster,UMAP0,UMAP1
sci-fi western,sci-fi western,3,1.976008,5.5976963
social biographical,social biographical,3,2.6705897,3.7824519
social romance musical,social romance musical,3,2.1304402,5.528567
south african western,south african western,3,2.848549,5.333009
sports biographical,sport biographical,3,1.7080967,4.825819
war biographical,war biographical,3,2.0298605,5.0367513
war short,war short,3,1.8555536,5.2476587
western musical,western musical,3,2.721833,5.020735
western serial,western serial,3,1.4712105,5.634778
worldwar i,worldwar i,3,2.6429422,5.732474
worldwar ii,worldwar ii,3,2.87659,5.629571
action for children,action for child,4,-3.2224267,1.6504625
action-adventure,action-adventure,4,-1.8008225,1.5248127
action-comedy,action-comedy,4,-2.686328,1.1593004
action-drama,action-drama,4,-2.5010273,1.2496818
action-thriller,action-thriller,4,-2.4973123,0.87910324
adapted from the play by alexandre goyette,adapt from the play by alexandre goyette,4,-3.792743,1.9332665
adaptation of a play by michel marc bouchard,adaptation of a play by michel marc bouchard,4,-3.7796612,1.9424051
adventure-comedy,adventure-comedy,4,-2.8740127,1.09827
animation-drama,animation-drama,4,-2.8083746,1.041344
anime for children,anime for child,4,-3.1781905,1.5144588
bio-drama,bio-drama,4,-1.8314731,1.6256131
biographical comedy-drama,biographical comedy-drama,4,-2.7801995,1.5789093
biographical of pioneering american photographer eadweard muybridge,biographical of pioneer american photographer eadweard muybridge,4,-3.6444573,1.9888064
coming of age,come of age,4,-3.293127,1.8270423
coming of age drama,come of age drama,4,-3.170456,2.0411093
coming-of-age,come-of-age,4,-3.1568084,1.8700033
coming-of-age drama,come-of-age drama,4,-3.1555283,2.1340427
comedy-drama,comedy-drama,4,-2.7981107,1.225109
comedy-drama adaptation of the mordecai richler novel,comedy-drama adaptation of the mordecai richler novel,4,-3.7687821,1.9623431
comedy-horror,comedy-horror,4,-2.8911376,1.0513475
comedy-thriller,comedy-thriller,4,-2.7579784,1.0733162
crime comedy-drama,crime comedy-drama,4,-2.6969042,1.6758558
crime-thriller,crime-thriller,4,-2.6371548,0.8529271
direct-to-dvd,direct-to-dvd,4,-2.4893315,1.6758323
drama adapted from the play by michel-marc bouchard,drama adapt from the play by michel-marc bouchard,4,-3.805001,1.9140806
drama adapted from wajdi mouawad's play of the same name,drama adapt from wajdi mouawad's play of the same name,4,-3.8193564,1.9109315
drama-comedy,drama-comedy,4,-2.9458904,1.1002944
drama-comedy-social,drama-comedy-social,4,-2.8574138,1.213466
drama-thriller,drama-thriller,4,-2.6318338,1.0273829
entered into the 11th moscow international film festival,enter into the 11th moscow international film festival,4,-3.788999,1.9013894
family comedy-drama,family comedy-drama,4,-2.723247,1.5702232
fantasy-comedy,fantasy-comedy,4,-2.9755545,1.1449237
